date,country_code,indicator_code,value
2012-11-21,CU,124,2.25
2012-11-20,CU,124,2.25
2012-11-19,CU,124,2.25
2012-11-16,CU,124,2.25
2012-11-15,CU,124,2.25
2012-11-14,CU,124,2.25
2012-11-13,CU,124,2.25
2012-11-12,CU,124,2.25
2012-11-09,CU,124,2.25
2012-11-08,CU,124,2.25
2012-11-07,CU,124,2.25
2012-11-06,CU,124,2.25
2012-11-05,CU,124,2.25
2012-11-02,CU,124,2.25
2012-11-01,CU,124,2.25
2012-10-31,CU,124,2.25
2012-10-30,CU,124,2.25
2012-10-29,CU,124,2.25
2012-10-26,CU,124,2.25
2012-10-25,CU,124,2.25
2012-10-24,CU,124,2.25
2012-10-23,CU,124,
2012-10-22,CU,124,2.25
2012-10-19,CU,124,2.25
2012-10-18,CU,124,2.25
2012-10-17,CU,124,2.25
2012-10-16,CU,124,2.25
2012-10-15,CU,124,
2012-10-12,CU,124,2.25
2012-10-11,CU,124,2.25
2012-10-10,CU,124,
2012-10-09,CU,124,
2012-10-08,CU,124,2.25
2012-10-05,CU,124,2.25
2012-10-04,CU,124,2.25
2012-10-03,CU,124,2.25
2012-10-02,CU,124,2.25
2012-10-01,CU,124,2.25
2012-09-28,CU,124,2.25
2012-09-27,CU,124,2.25
2012-09-26,CU,124,2.25
2012-09-25,CU,124,2.25
2012-09-24,CU,124,2.25
2012-09-21,CU,124,2.25
2012-09-20,CU,124,2.25
2012-09-19,CU,124,2.25
2012-09-18,CU,124,2.25
2012-09-17,CU,124,2.25
2012-09-14,CU,124,2.25
2012-09-13,CU,124,2.25
2012-09-12,CU,124,2.25
2012-09-11,CU,124,2.25
2012-09-10,CU,124,2.25
2012-09-07,CU,124,2.25
2012-09-06,CU,124,2.25
2012-09-05,CU,124,2.25
2012-09-04,CU,124,2.25
2012-09-03,CU,124,2.25
2012-08-31,CU,124,2.25
2012-08-30,CU,124,2.25
2012-08-29,CU,124,2.25
2012-08-28,CU,124,2.25
2012-08-27,CU,124,2.25
2012-08-24,CU,124,2.25
2012-08-23,CU,124,2.25
2012-08-22,CU,124,2.25
2012-08-21,CU,124,2.25
2012-08-20,CU,124,2.25
2012-08-17,CU,124,2.25
2012-08-16,CU,124,2.25
2012-08-15,CU,124,2.25
2012-08-14,CU,124,2.25
2012-08-13,CU,124,2.25
2012-08-10,CU,124,2.25
2012-08-09,CU,124,2.25
2012-08-08,CU,124,2.25
2012-08-07,CU,124,2.25
2012-08-06,CU,124,2.25
2012-08-03,CU,124,2.25
2012-08-02,CU,124,2.25
2012-08-01,CU,124,2.25
2012-07-31,CU,124,2.25
2012-07-30,CU,124,2.25
2012-07-27,CU,124,
2012-07-26,CU,124,2.25
2012-07-25,CU,124,2.25
2012-07-24,CU,124,2.25
2012-07-23,CU,124,2.25
2012-07-20,CU,124,2.25
2012-07-19,CU,124,2.25
2012-07-18,CU,124,2.25
2012-07-17,CU,124,2.25
2012-07-16,CU,124,2.25
2012-07-13,CU,124,2.25
2012-07-12,CU,124,2.25
2012-07-11,CU,124,2.25
2012-07-10,CU,124,2.25
2012-07-09,CU,124,2.25
2012-07-06,CU,124,2.25
2012-07-05,CU,124,2.25
2012-07-04,CU,124,2.25
2012-07-03,CU,124,2.25
2012-07-02,CU,124,2.25
2012-06-29,CU,124,2.25
2012-06-28,CU,124,2.25
2012-06-27,CU,124,2.25
2012-06-26,CU,124,2.25
2012-06-25,CU,124,2.25
2012-06-22,CU,124,2.25
2012-06-21,CU,124,2.25
2012-06-20,CU,124,2.25
2012-06-19,CU,124,2.25
2012-06-18,CU,124,2.25
2012-06-15,CU,124,2.25
2012-06-14,CU,124,2.25
2012-06-13,CU,124,2.25
2012-06-12,CU,124,2.25
2012-06-11,CU,124,2.25
2012-06-08,CU,124,2.25
2012-06-07,CU,124,2.25
2012-06-06,CU,124,2.25
2012-06-05,CU,124,2.25
2012-06-04,CU,124,2.25
2012-06-01,CU,124,2.25
2012-05-31,CU,124,2.25
2012-05-30,CU,124,2.25
2012-05-29,CU,124,2.25
2012-05-28,CU,124,2.25
2012-05-25,CU,124,2.25
2012-05-24,CU,124,2.25
2012-05-23,CU,124,2.25
2012-05-22,CU,124,2.25
2012-05-21,CU,124,2.25
2012-05-18,CU,124,2.25
2012-05-17,CU,124,2.25
2012-05-16,CU,124,2.25
2012-05-15,CU,124,2.25
2012-05-14,CU,124,2.25
2012-05-11,CU,124,2.25
2012-05-10,CU,124,2.25
2012-05-09,CU,124,2.25
2012-05-08,CU,124,2.25
2012-05-07,CU,124,2.25
2012-05-04,CU,124,2.25
2012-05-03,CU,124,2.25
2012-05-02,CU,124,2.25
2012-05-01,CU,124,
2012-04-30,CU,124,2.25
2012-04-27,CU,124,2.25
2012-04-26,CU,124,2.25
2012-04-25,CU,124,2.25
2012-04-24,CU,124,2.25
2012-04-23,CU,124,2.25
2012-04-20,CU,124,2.25
2012-04-19,CU,124,2.25
2012-04-18,CU,124,2.25
2012-04-17,CU,124,2.25
2012-04-16,CU,124,2.25
2012-04-13,CU,124,2.25
2012-04-12,CU,124,2.25
2012-04-11,CU,124,2.25
2012-04-10,CU,124,2.25
2012-04-09,CU,124,2.25
2012-04-06,CU,124,2.25
2012-04-05,CU,124,2.25
2012-04-04,CU,124,2.25
2012-04-03,CU,124,2.25
2012-04-02,CU,124,2.25
2012-03-30,CU,124,2.25
2012-03-29,CU,124,2.25
2012-03-28,CU,124,
2012-03-27,CU,124,2.25
2012-03-26,CU,124,2.25
2012-03-23,CU,124,2.25
2012-03-22,CU,124,2.25
2012-03-21,CU,124,2.25
2012-03-20,CU,124,2.25
2012-03-19,CU,124,2.25
2012-03-16,CU,124,2.25
2012-03-15,CU,124,2.25
2012-03-14,CU,124,2.25
2012-03-13,CU,124,2.25
2012-03-12,CU,124,2.25
2012-03-09,CU,124,2.25
2012-03-08,CU,124,2.25
2012-03-07,CU,124,2.25
2012-03-06,CU,124,2.25
2012-03-05,CU,124,2.25
2012-03-02,CU,124,2.25
2012-03-01,CU,124,2.25
2012-02-29,CU,124,2.25
2012-02-28,CU,124,2.25
2012-02-27,CU,124,2.25
2012-02-24,CU,124,2.25
2012-02-23,CU,124,2.25
2012-02-22,CU,124,2.25
2012-02-21,CU,124,2.25
2012-02-20,CU,124,2.25
2012-02-17,CU,124,2.25
2012-02-16,CU,124,2.25
2012-02-15,CU,124,2.25
2012-02-14,CU,124,2.25
2012-02-13,CU,124,2.25
2012-02-10,CU,124,2.25
2012-02-09,CU,124,
2012-02-08,CU,124,2.25
2012-02-07,CU,124,2.25
2012-02-06,CU,124,2.25
2012-02-03,CU,124,2.25
2012-02-02,CU,124,2.25
2012-02-01,CU,124,2.25
2012-01-31,CU,124,2.25
2012-01-30,CU,124,2.25
2012-01-27,CU,124,2.25
2012-01-26,CU,124,
2012-01-25,CU,124,2.25
2012-01-24,CU,124,2.25
2012-01-23,CU,124,2.25
2012-01-20,CU,124,2.25
2012-01-19,CU,124,2.25
2012-01-18,CU,124,2.25
2012-01-17,CU,124,2.25
2012-01-16,CU,124,2.25
2012-01-13,CU,124,2.25
2012-01-12,CU,124,2.25
2012-01-11,CU,124,2.25
2012-01-10,CU,124,2.25
2012-01-09,CU,124,2.25
2012-01-06,CU,124,2.25
2012-01-05,CU,124,2.25
2012-01-04,CU,124,2.25
2012-01-03,CU,124,2.25
2012-01-02,CU,124,
2011-12-30,CU,124,
2011-12-29,CU,124,2.25
2011-12-28,CU,124,2.25
2011-12-27,CU,124,2.25
2011-12-26,CU,124,2.25
2011-12-23,CU,124,2.25
2011-12-22,CU,124,2.25
2011-12-21,CU,124,2.25
2011-12-20,CU,124,2.25
2011-12-19,CU,124,2.25
2011-12-16,CU,124,2.25
2011-12-15,CU,124,2.25
2011-12-14,CU,124,2.25
2011-12-13,CU,124,2.25
2011-12-12,CU,124,2.25
2011-12-09,CU,124,2.25
2011-12-08,CU,124,2.25
2011-12-07,CU,124,2.25
2011-12-06,CU,124,2.25
2011-12-05,CU,124,2.25
2011-12-02,CU,124,2.25
2011-12-01,CU,124,2.25
2011-11-30,CU,124,2.25
2011-11-29,CU,124,2.25
2011-11-28,CU,124,2.25
2011-11-25,CU,124,2.25
2011-11-24,CU,124,2.25
2011-11-23,CU,124,2.25
2011-11-22,CU,124,2.25
2011-11-21,CU,124,2.25
2011-11-18,CU,124,2.25
2011-11-17,CU,124,2.25
2011-11-16,CU,124,2.25
2011-11-15,CU,124,2.25
2011-11-14,CU,124,2.25
2011-11-11,CU,124,2.25
2011-11-10,CU,124,2.25
2011-11-09,CU,124,2.25
2011-11-08,CU,124,2.25
2011-11-07,CU,124,2.25
2011-11-04,CU,124,2.25
2011-11-03,CU,124,2.25
2011-11-02,CU,124,2.25
2011-11-01,CU,124,2.25
2011-10-31,CU,124,2.25
2011-10-28,CU,124,2.25
2011-10-27,CU,124,2.25
2011-10-26,CU,124,2.25
2011-10-25,CU,124,2.25
2011-10-24,CU,124,2.25
2011-10-21,CU,124,2.25
2011-10-20,CU,124,2.25
2011-10-19,CU,124,2.25
2011-10-18,CU,124,2.25
2011-10-17,CU,124,2.25
2011-10-14,CU,124,2.25
2011-10-13,CU,124,2.25
2011-10-12,CU,124,2.25
2011-10-11,CU,124,2.25
2011-10-10,CU,124,
2011-10-07,CU,124,2.25
2011-10-06,CU,124,2.25
2011-10-05,CU,124,2.25
2011-10-04,CU,124,2.25
2011-10-03,CU,124,2.25
2011-09-30,CU,124,2.25
2011-09-29,CU,124,2.25
2011-09-28,CU,124,2.25
2011-09-27,CU,124,2.25
2011-09-26,CU,124,2.25
2011-09-23,CU,124,2.25
2011-09-22,CU,124,2.25
2011-09-21,CU,124,2.25
2011-09-20,CU,124,2.25
2011-09-19,CU,124,2.25
2011-09-16,CU,124,2.25
2011-09-15,CU,124,2.25
2011-09-14,CU,124,2.25
2011-09-13,CU,124,2.25
2011-09-12,CU,124,2.25
2011-09-09,CU,124,2.25
2011-09-08,CU,124,2.25
2011-09-07,CU,124,2.25
2011-09-06,CU,124,2.25
2011-09-05,CU,124,2.25
2011-09-02,CU,124,2.25
2011-09-01,CU,124,2.25
2011-08-31,CU,124,2.25
2011-08-30,CU,124,2.25
2011-08-29,CU,124,2.25
2011-08-26,CU,124,2.25
2011-08-25,CU,124,2.25
2011-08-24,CU,124,2.25
2011-08-23,CU,124,2.25
2011-08-22,CU,124,2.25
2011-08-19,CU,124,2.25
2011-08-18,CU,124,2.25
2011-08-17,CU,124,2.25
2011-08-16,CU,124,2.25
2011-08-15,CU,124,2.25
2011-08-12,CU,124,2.25
2011-08-11,CU,124,2.25
2011-08-10,CU,124,2.25
2011-08-09,CU,124,2.25
2011-08-08,CU,124,2.25
2011-08-05,CU,124,2.25
2011-08-04,CU,124,2.25
2011-08-03,CU,124,2.25
2011-08-02,CU,124,2.25
2011-08-01,CU,124,2.25
2011-07-29,CU,124,2.25
2011-07-28,CU,124,2.25
2011-07-27,CU,124,
2011-07-26,CU,124,
2011-07-25,CU,124,
2011-07-22,CU,124,2.25
2011-07-21,CU,124,2.25
2011-07-20,CU,124,2.25
2011-07-19,CU,124,2.25
2011-07-18,CU,124,2.25
2011-07-15,CU,124,2.25
2011-07-14,CU,124,2.25
2011-07-13,CU,124,2.25
2011-07-12,CU,124,2.25
2011-07-11,CU,124,2.25
2011-07-08,CU,124,2.25
2011-07-07,CU,124,2.25
2011-07-06,CU,124,2.25
2011-07-05,CU,124,2.25
2011-07-04,CU,124,2.25
2011-07-01,CU,124,2.25
2011-06-30,CU,124,
2011-06-29,CU,124,2.25
2011-06-28,CU,124,2.25
2011-06-27,CU,124,2.25
2011-06-24,CU,124,2.25
2011-06-23,CU,124,2.25
2011-06-22,CU,124,2.25
2011-06-21,CU,124,2.25
2011-06-20,CU,124,2.25
2011-06-17,CU,124,2.25
2011-06-16,CU,124,2.25
2011-06-15,CU,124,2.25
2011-06-14,CU,124,2.25
2011-06-13,CU,124,2.25
2011-06-10,CU,124,2.25
2011-06-09,CU,124,2.25
2011-06-08,CU,124,2.25
2011-06-07,CU,124,2.25
2011-06-06,CU,124,2.25
2011-06-03,CU,124,2.25
2011-06-02,CU,124,2.25
2011-06-01,CU,124,2.25
2011-05-31,CU,124,2.25
2011-05-30,CU,124,2.25
2011-05-27,CU,124,2.25
2011-05-26,CU,124,2.25
2011-05-25,CU,124,2.25
2011-05-24,CU,124,2.25
2011-05-23,CU,124,2.25
2011-05-20,CU,124,2.25
2011-05-19,CU,124,2.25
2011-05-18,CU,124,2.25
2011-05-17,CU,124,2.25
2011-05-16,CU,124,2.25
2011-05-13,CU,124,2.25
2011-05-12,CU,124,2.25
2011-05-11,CU,124,
2011-05-10,CU,124,
2011-05-09,CU,124,2.25
2011-05-06,CU,124,2.25
2011-05-05,CU,124,2.25
2011-05-04,CU,124,2.25
2011-05-03,CU,124,2.25
2011-05-02,CU,124,
2011-04-29,CU,124,2.25
2011-04-28,CU,124,2.25
2011-04-27,CU,124,2.25
2011-04-26,CU,124,2.25
2011-04-25,CU,124,2.25
2011-04-22,CU,124,2.25
2011-04-21,CU,124,2.25
2011-04-20,CU,124,2.25
2011-04-19,CU,124,2.25
2011-04-18,CU,124,2.25
2011-04-15,CU,124,2.25
2011-04-14,CU,124,2.25
2011-04-13,CU,124,2.25
2011-04-12,CU,124,2.25
2011-04-11,CU,124,2.25
2011-04-08,CU,124,2.25
2011-04-07,CU,124,2.25
2011-04-06,CU,124,
2011-04-05,CU,124,2.25
2011-04-04,CU,124,2.25
2011-04-01,CU,124,2.25
2011-03-31,CU,124,2.25
2011-03-30,CU,124,2.25
2011-03-29,CU,124,2.25
2011-03-28,CU,124,2.25
2011-03-25,CU,124,2.25
2011-03-24,CU,124,2.25
2011-03-23,CU,124,2.25
2011-03-22,CU,124,2.25
2011-03-21,CU,124,2.25
2011-03-18,CU,124,2.25
2011-03-17,CU,124,2.25
2011-03-16,CU,124,2.25
2011-03-15,CU,124,2.25
2011-03-14,CU,124,2.25
2011-03-11,CU,124,2.25
2011-03-10,CU,124,2.25
2011-03-09,CU,124,2.25
2011-03-08,CU,124,2.25
2011-03-07,CU,124,2.25
2011-03-04,CU,124,2.25
2011-03-03,CU,124,2.25
2011-03-02,CU,124,2.25
2011-03-01,CU,124,2.25
2011-02-28,CU,124,2.25
2011-02-25,CU,124,2.25
2011-02-24,CU,124,2.25
2011-02-23,CU,124,2.25
2011-02-22,CU,124,2.25
2011-02-21,CU,124,2.25
2011-02-18,CU,124,2.25
2011-02-17,CU,124,2.25
2011-02-16,CU,124,2.25
2011-02-15,CU,124,2.25
2011-02-14,CU,124,2.25
2011-02-11,CU,124,2.25
2011-02-10,CU,124,2.25
2011-02-09,CU,124,2.25
2011-02-08,CU,124,2.25
2011-02-07,CU,124,2.25
2011-02-04,CU,124,2.25
2011-02-03,CU,124,2.25
2011-02-02,CU,124,2.25
2011-02-01,CU,124,2.25
2011-01-31,CU,124,2.25
2011-01-28,CU,124,2.25
2011-01-27,CU,124,2.25
2011-01-26,CU,124,2.25
2011-01-25,CU,124,2.25
2011-01-24,CU,124,2.25
2011-01-21,CU,124,2.25
2011-01-20,CU,124,2.25
2011-01-19,CU,124,2.25
2011-01-18,CU,124,2.25
2011-01-17,CU,124,2.25
2011-01-14,CU,124,2.25
2011-01-13,CU,124,2.25
2011-01-12,CU,124,2.25
2011-01-11,CU,124,2.25
2011-01-10,CU,124,2.25
2011-01-07,CU,124,2.25
2011-01-06,CU,124,2.25
2011-01-05,CU,124,2.25
2011-01-04,CU,124,2.25
2011-01-03,CU,124,2.25
2010-12-31,CU,124,
2010-12-30,CU,124,2.25
2010-12-29,CU,124,2.25
2010-12-28,CU,124,2.25
2010-12-27,CU,124,2.25
2010-12-24,CU,124,2.25
2010-12-23,CU,124,2.25
2010-12-22,CU,124,2.25
2010-12-21,CU,124,2.25
2010-12-20,CU,124,2.25
2010-12-17,CU,124,2.25
2010-12-16,CU,124,2.25
2010-12-15,CU,124,2.25
2010-12-14,CU,124,2.25
2010-12-13,CU,124,2.25
2010-12-10,CU,124,2.25
2010-12-09,CU,124,2.25
2010-12-08,CU,124,2.25
2010-12-07,CU,124,2.25
2010-12-06,CU,124,2.25
2010-12-03,CU,124,2.25
2010-12-02,CU,124,2.25
2010-12-01,CU,124,2.25
2010-11-30,CU,124,2.25
2010-11-29,CU,124,2.25
2010-11-26,CU,124,2.25
2010-11-25,CU,124,2.25
2010-11-24,CU,124,2.25
2010-11-23,CU,124,2.25
2010-11-22,CU,124,2.25
2010-11-19,CU,124,2.25
2010-11-18,CU,124,2.25
2010-11-17,CU,124,2.25
2010-11-16,CU,124,2.25
2010-11-15,CU,124,2.25
2010-11-12,CU,124,2.25
2010-11-11,CU,124,2.25
2010-11-10,CU,124,2.25
2010-11-09,CU,124,2.25
2010-11-08,CU,124,2.25
2010-11-05,CU,124,2.25
2010-11-04,CU,124,2.25
2010-11-03,CU,124,2.25
2010-11-02,CU,124,2.25
2010-11-01,CU,124,2.25
2010-10-29,CU,124,2.25
2010-10-28,CU,124,2.25
2010-10-27,CU,124,2.25
2010-10-26,CU,124,2.25
2010-10-25,CU,124,2.25
2010-10-22,CU,124,2.25
2010-10-21,CU,124,2.25
2010-10-20,CU,124,2.25
2010-10-19,CU,124,2.25
2010-10-18,CU,124,2.25
2010-10-15,CU,124,2.25
2010-10-14,CU,124,2.25
2010-10-13,CU,124,2.25
2010-10-12,CU,124,2.25
2010-10-11,CU,124,
2010-10-08,CU,124,2.25
2010-10-07,CU,124,2.25
2010-10-06,CU,124,2.25
2010-10-05,CU,124,2.25
2010-10-04,CU,124,2.25
2010-10-01,CU,124,2.25
2010-09-30,CU,124,2.25
2010-09-29,CU,124,2.25
2010-09-28,CU,124,2.25
2010-09-27,CU,124,2.25
2010-09-24,CU,124,2.25
2010-09-23,CU,124,2.25
2010-09-22,CU,124,2.25
2010-09-21,CU,124,2.25
2010-09-20,CU,124,2.25
2010-09-17,CU,124,2.25
2010-09-16,CU,124,2.25
2010-09-15,CU,124,2.25
2010-09-14,CU,124,2.25
2010-09-13,CU,124,2.25
2010-09-10,CU,124,2.25
2010-09-09,CU,124,2.25
2010-09-08,CU,124,2.25
2010-09-07,CU,124,2.25
2010-09-06,CU,124,2.25
2010-09-03,CU,124,2.25
2010-09-02,CU,124,2.25
2010-09-01,CU,124,2.25
2010-08-31,CU,124,2.25
2010-08-30,CU,124,2.25
2010-08-27,CU,124,2.25
2010-08-26,CU,124,2.25
2010-08-25,CU,124,2.25
2010-08-24,CU,124,2.25
2010-08-23,CU,124,2.25
2010-08-20,CU,124,2.25
2010-08-19,CU,124,2.25
2010-08-18,CU,124,2.25
2010-08-17,CU,124,2.25
2010-08-16,CU,124,2.25
2010-08-13,CU,124,2.25
2010-08-12,CU,124,2.25
2010-08-11,CU,124,2.25
2010-08-10,CU,124,2.25
2010-08-09,CU,124,2.25
2010-08-06,CU,124,2.25
2010-08-05,CU,124,2.25
2010-08-04,CU,124,2.25
2010-08-03,CU,124,2.25
2010-08-02,CU,124,2.25
2010-07-30,CU,124,2.25
2010-07-29,CU,124,2.25
2010-07-28,CU,124,2.25
2010-07-27,CU,124,
2010-07-26,CU,124,
2010-07-23,CU,124,2.25
2010-07-22,CU,124,2.25
2010-07-21,CU,124,2.25
2010-07-20,CU,124,2.25
2010-07-19,CU,124,2.25
2010-07-16,CU,124,2.25
2010-07-15,CU,124,2.25
2010-07-14,CU,124,2.25
2010-07-13,CU,124,2.25
2010-07-12,CU,124,2.25
2010-07-09,CU,124,2.25
2010-07-08,CU,124,2.25
2010-07-07,CU,124,2.25
2010-07-06,CU,124,2.25
2010-07-05,CU,124,2.25
2010-07-02,CU,124,2.25
2010-07-01,CU,124,2.25
2010-06-30,CU,124,2.25
2010-06-29,CU,124,2.25
2010-06-28,CU,124,2.25
2010-06-25,CU,124,2.25
2010-06-24,CU,124,2.25
2010-06-23,CU,124,2.25
2010-06-22,CU,124,2.25
2010-06-21,CU,124,2.25
2010-06-18,CU,124,2.25
2010-06-17,CU,124,2.25
2010-06-16,CU,124,2.25
2010-06-15,CU,124,2.25
2010-06-14,CU,124,2.25
2010-06-11,CU,124,2.25
2010-06-10,CU,124,2.25
2010-06-09,CU,124,2.25
2010-06-08,CU,124,2.25
2010-06-07,CU,124,2.25
2010-06-04,CU,124,2.25
2010-06-03,CU,124,2.25
2010-06-02,CU,124,2.25
2010-06-01,CU,124,2.25
2010-05-31,CU,124,2.25
2010-05-28,CU,124,2.25
2010-05-27,CU,124,2.25
2010-05-26,CU,124,2.25
2010-05-25,CU,124,2.25
2010-05-24,CU,124,2.25
2010-05-21,CU,124,2.25
2010-05-20,CU,124,2.25
2010-05-19,CU,124,2.25
2010-05-18,CU,124,2.25
2010-05-17,CU,124,2.25
2010-05-14,CU,124,2.25
2010-05-13,CU,124,2.25
2010-05-12,CU,124,2.25
2010-05-11,CU,124,2.25
2010-05-10,CU,124,2.25
2010-05-07,CU,124,2.25
2010-05-06,CU,124,2.25
2010-05-05,CU,124,2.25
2010-05-04,CU,124,2.25
2010-05-03,CU,124,2.25
2010-04-30,CU,124,2.25
2010-04-29,CU,124,2.25
2010-04-28,CU,124,2.25
2010-04-27,CU,124,2.25
2010-04-26,CU,124,2.25
2010-04-23,CU,124,2.25
2010-04-22,CU,124,2.25
2010-04-21,CU,124,2.25
2010-04-20,CU,124,2.25
2010-04-19,CU,124,2.25
2010-04-16,CU,124,2.25
2010-04-15,CU,124,2.25
2010-04-14,CU,124,2.25
2010-04-13,CU,124,2.25
2010-04-12,CU,124,2.25
2010-04-09,CU,124,2.25
2010-04-08,CU,124,2.25
2010-04-07,CU,124,2.25
2010-04-06,CU,124,
2010-04-05,CU,124,2.25
2010-04-02,CU,124,2.25
2010-04-01,CU,124,2.25
2010-03-31,CU,124,2.25
2010-03-30,CU,124,2.25
2010-03-29,CU,124,2.25
2010-03-26,CU,124,2.25
2010-03-25,CU,124,2.25
2010-03-24,CU,124,2.25
2010-03-23,CU,124,2.25
2010-03-22,CU,124,2.25
2010-03-19,CU,124,2.25
2010-03-18,CU,124,2.25
2010-03-17,CU,124,2.25
2010-03-16,CU,124,2.25
2010-03-15,CU,124,2.25
2010-03-12,CU,124,2.25
2010-03-11,CU,124,2.25
2010-03-10,CU,124,2.25
2010-03-09,CU,124,
2010-03-08,CU,124,2.25
2010-03-05,CU,124,2.25
2010-03-04,CU,124,2.25
2010-03-03,CU,124,2.25
2010-03-02,CU,124,2.25
2010-03-01,CU,124,2.25
2010-02-26,CU,124,2.25
2010-02-25,CU,124,2.25
2010-02-24,CU,124,2.25
2010-02-23,CU,124,2.25
2010-02-22,CU,124,2.25
2010-02-19,CU,124,2.25
2010-02-18,CU,124,2.25
2010-02-17,CU,124,2.25
2010-02-16,CU,124,2.25
2010-02-15,CU,124,2.25
2010-02-12,CU,124,2.25
2010-02-11,CU,124,2.25
2010-02-10,CU,124,2.25
2010-02-09,CU,124,2.25
2010-02-08,CU,124,2.25
2010-02-05,CU,124,2.25
2010-02-04,CU,124,2.25
2010-02-03,CU,124,2.25
2010-02-02,CU,124,2.25
2010-02-01,CU,124,2.25
2010-01-29,CU,124,2.25
2010-01-28,CU,124,2.25
2010-01-27,CU,124,
2010-01-26,CU,124,2.25
2010-01-25,CU,124,2.25
2010-01-22,CU,124,2.25
2010-01-21,CU,124,2.25
2010-01-20,CU,124,2.25
2010-01-19,CU,124,2.25
2010-01-18,CU,124,2.25
2010-01-15,CU,124,2.25
2010-01-14,CU,124,2.25
2010-01-13,CU,124,2.25
2010-01-12,CU,124,2.25
2010-01-11,CU,124,2.25
2010-01-08,CU,124,2.25
2010-01-07,CU,124,2.25
2010-01-06,CU,124,2.25
2010-01-05,CU,124,2.25
2010-01-04,CU,124,2.25
2010-01-01,CU,124,
2009-12-31,CU,124,
2009-12-30,CU,124,2.25
2009-12-29,CU,124,2.25
2009-12-28,CU,124,2.25
2009-12-25,CU,124,
2009-12-24,CU,124,2.25
2009-12-23,CU,124,2.25
2009-12-22,CU,124,2.25
2009-12-21,CU,124,2.25
2009-12-18,CU,124,2.25
2009-12-17,CU,124,2.25
2009-12-16,CU,124,2.25
2009-12-15,CU,124,2.25
2009-12-14,CU,124,2.25
2009-12-11,CU,124,2.25
2009-12-10,CU,124,2.25
2009-12-09,CU,124,2.25
2009-12-08,CU,124,2.25
2009-12-07,CU,124,2.25
2009-12-04,CU,124,2.25
2009-12-03,CU,124,2.25
2009-12-02,CU,124,2.25
2009-12-01,CU,124,2.25
2009-11-30,CU,124,2.25
2009-11-27,CU,124,2.25
2009-11-26,CU,124,2.25
2009-11-25,CU,124,2.25
2009-11-24,CU,124,2.25
2009-11-23,CU,124,2.25
2009-11-20,CU,124,2.25
2009-11-19,CU,124,2.25
2009-11-18,CU,124,2.25
2009-11-17,CU,124,2.25
2009-11-16,CU,124,2.25
2009-11-13,CU,124,2.25
2009-11-12,CU,124,2.25
2009-11-11,CU,124,2.25
2009-11-10,CU,124,2.25
2009-11-09,CU,124,2.25
2009-11-06,CU,124,2.25
2009-11-05,CU,124,2.25
2009-11-04,CU,124,2.25
2009-11-03,CU,124,2.25
2009-11-02,CU,124,2.25
2009-10-30,CU,124,2.25
2009-10-29,CU,124,2.25
2009-10-28,CU,124,
2009-10-27,CU,124,2.25
2009-10-26,CU,124,2.25
2009-10-23,CU,124,2.25
2009-10-22,CU,124,2.25
2009-10-21,CU,124,2.25
2009-10-20,CU,124,2.25
2009-10-19,CU,124,2.25
2009-10-16,CU,124,2.25
2009-10-15,CU,124,2.25
2009-10-14,CU,124,2.25
2009-10-13,CU,124,2.25
2009-10-12,CU,124,2.25
2009-10-09,CU,124,2.25
2009-10-08,CU,124,2.25
2009-10-07,CU,124,2.25
2009-10-06,CU,124,
2009-10-05,CU,124,2.25
2009-10-02,CU,124,2.25
2009-10-01,CU,124,2.25
2009-09-30,CU,124,2.25
2009-09-29,CU,124,2.25
2009-09-28,CU,124,2.25
2009-09-25,CU,124,2.25
2009-09-24,CU,124,2.25
2009-09-23,CU,124,2.25
2009-09-22,CU,124,2.25
2009-09-21,CU,124,2.25
2009-09-18,CU,124,2.25
2009-09-17,CU,124,2.25
2009-09-16,CU,124,2.25
2009-09-15,CU,124,2.25
2009-09-14,CU,124,2.25
2009-09-11,CU,124,2.25
2009-09-10,CU,124,2.25
2009-09-09,CU,124,2.25
2009-09-08,CU,124,2.25
2009-09-07,CU,124,2.25
2009-09-04,CU,124,2.25
2009-09-03,CU,124,2.25
2009-09-02,CU,124,2.25
2009-09-01,CU,124,2.25
2009-08-31,CU,124,2.25
2009-08-28,CU,124,2.25
2009-08-27,CU,124,
2009-08-26,CU,124,2.25
2009-08-25,CU,124,2.25
2009-08-24,CU,124,2.25
2009-08-21,CU,124,2.25
2009-08-20,CU,124,2.25
2009-08-19,CU,124,2.25
2009-08-18,CU,124,2.25
2009-08-17,CU,124,2.25
2009-08-14,CU,124,2.25
2009-08-13,CU,124,2.25
2009-08-12,CU,124,2.25
2009-08-11,CU,124,2.25
2009-08-10,CU,124,2.25
2009-08-07,CU,124,2.25
2009-08-06,CU,124,2.25
2009-08-05,CU,124,2.25
2009-08-04,CU,124,2.25
2009-08-03,CU,124,2.25
2009-07-31,CU,124,2.25
2009-07-30,CU,124,2.25
2009-07-29,CU,124,2.25
2009-07-28,CU,124,2.25
2009-07-27,CU,124,
2009-07-24,CU,124,2.25
2009-07-23,CU,124,2.25
2009-07-22,CU,124,2.25
2009-07-21,CU,124,2.25
2009-07-20,CU,124,2.25
2009-07-17,CU,124,2.25
2009-07-16,CU,124,2.25
2009-07-15,CU,124,2.25
2009-07-14,CU,124,2.25
2009-07-13,CU,124,2.25
2009-07-10,CU,124,2.25
2009-07-09,CU,124,2.25
